val/dice,_step,_runtime,lr,val/loss,val/iou,train/loss,epoch,_timestamp,val/overlay
0.8094545246826278,26,2.721175263,0.001,0.11106064574172099,0.7279072850942612,0.10024854840665329,14,1777205753.7199562,
,27,2.721175263,,,,,14,1777205754.952002,"{'size': 39924, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_27_31cb65d228c59d415a1f.png', 'sha256': '31cb65d228c59d415a1f8221f6d2e49109609026bbb1ebb69c1fea5fe5cdcbe9'}"
0.8023937460449007,28,2.721175263,0.001,0.1176843647327688,0.7197235085897975,0.09673825935347051,15,1777205841.8285446,
,29,2.721175263,,,,,15,1777205842.956011,"{'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_29_ac7a4d6ef3ea2f0d8dc5.png', 'sha256': 'ac7a4d6ef3ea2f0d8dc522b3b328e9d52f4a8da3f2fae06ecc94403005077a48', 'size': 40123}"
0.766114727490478,30,2.721175263,0.001,0.13978635530090994,0.67950981689824,0.10427302003997128,16,1777205929.5391102,
,31,2.721175263,,,,,16,1777205930.5897553,"{'path': 'media/images/val/overlay_31_a804d90a8b9c721cdc6a.png', 'sha256': 'a804d90a8b9c721cdc6ab3fb53d3797fd70db84826dd043b85222468428b1cf4', 'size': 39983, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256}"
0.783352958659331,32,2.721175263,0.001,0.12825057386524147,0.6989051053921381,0.09609563703217157,17,1777206017.404248,
,33,2.721175263,,,,,17,1777206018.6317074,"{'height': 256, 'path': 'media/images/val/overlay_33_8bc5dc8f289d19610ff3.png', 'sha256': '8bc5dc8f289d19610ff3fcd5d1be44a93f74aea418420ca718dab3ee35ef25c4', 'size': 40297, 'width': 256, '_type': 'image-file', 'format': 'png'}"
0.7982691162162356,34,2.721175263,0.001,0.11907155635870165,0.7256390154361725,0.08751264918686413,18,1777206105.2415948,
,35,2.721175263,,,,,18,1777206106.2753937,"{'_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_35_eb043896249c89caa2e2.png', 'sha256': 'eb043896249c89caa2e2ae932249a9b9df24802ae3a2021d6fa78ca056cc1e3a', 'size': 39909, 'width': 256}"
0.7918238540490469,36,2.721175263,0.0005,0.12312097071359555,0.7086631572908826,0.09148590675577885,19,1777206193.1800005,
,37,2.721175263,,,,,19,1777206194.3377051,"{'height': 256, 'path': 'media/images/val/overlay_37_eb043896249c89caa2e2.png', 'sha256': 'eb043896249c89caa2e2ae932249a9b9df24802ae3a2021d6fa78ca056cc1e3a', 'size': 39909, 'width': 256, '_type': 'image-file', 'format': 'png'}"
0.834350525505013,38,2.721175263,0.0005,0.0965052810497582,0.7598043597406812,0.0790945729467927,20,1777206281.0644858,
,39,2.721175263,,,,,20,1777206282.297905,"{'sha256': '3696f1c22af008b3740f65bc9266281d45211f842986e70d1083c6e44f339c53', 'size': 40442, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_39_3696f1c22af008b3740f.png'}"
0.8394874019755257,40,2.721175263,0.0005,0.09450647566053602,0.7634925146897634,0.07451626556221305,21,1777206369.099609,
,41,2.721175263,,,,,21,1777206370.3404,"{'size': 39952, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_41_54d587e25894b736803f.png', 'sha256': '54d587e25894b736803fa5e4866217e1c85ead63f63c2b4367bf07ac9775eed7'}"
0.8345991588301129,42,2.721175263,0.0005,0.09703945792797539,0.7593351817793317,0.07333757258133917,22,1777206457.0647025,
,43,2.721175263,,,,,22,1777206458.167929,"{'path': 'media/images/val/overlay_43_7d38219eeb398943e62a.png', 'sha256': '7d38219eeb398943e62a6df7814245ff11c05e2501cabd13a619e170825c9981', 'size': 40331, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256}"
0.8340891053279241,44,2.721175263,0.0005,0.09682841847340266,0.7566924062040117,0.073907474146747,23,1777206544.9743602,
,45,2.721175263,,,,,23,1777206546.1837442,"{'path': 'media/images/val/overlay_45_1db1cf7f897d99d9dbca.png', 'sha256': '1db1cf7f897d99d9dbca8c2709491d836d4d3b7f974361d74574adc8f502e24e', 'size': 40365, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256}"
0.8331741525067223,46,2.721175263,0.0005,0.09740517754107714,0.7567788478400972,0.07088132736432116,24,1777206632.8694546,
,47,2.721175263,,,,,24,1777206634.004674,"{'path': 'media/images/val/overlay_47_8c1a341ccb1b3ffdfa87.png', 'sha256': '8c1a341ccb1b3ffdfa87bd75b5e50289f109b73215801e9b12895decd7fb69a7', 'size': 39974, 'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256}"
0.8409232050180435,48,2.721175263,0.0005,0.09319676003522342,0.7667481783363554,0.06910066497398586,25,1777206720.440523,
,49,2.721175263,,,,,25,1777206721.6579695,"{'width': 256, '_type': 'image-file', 'format': 'png', 'height': 256, 'path': 'media/images/val/overlay_49_1c3130ebfa6d3d435444.png', 'sha256': '1c3130ebfa6d3d4354440ba925841ab09d237e58280db1d69098ed99e5cac16d', 'size': 40394}"
