lr,_step,val/iou,val/loss,_runtime,train/loss,val/overlay,val/dice,_timestamp,epoch
,29,,,2.616316767,,"{'sha256': 'afeab0bd198e65510856faf4d601f012982da230e9d8a0fb6a2fcb8972aed459', 'size': 40260, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_29_afeab0bd198e65510856.png'}",,1777127925.5132515,15
0.001,30,0.7115745548572805,0.12556987761140423,2.616316767,0.09842080256818392,,0.7857633150286145,1777128176.808814,16
,31,,,2.616316767,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_31_eb043896249c89caa2e2.png', 'sha256': 'eb043896249c89caa2e2ae932249a9b9df24802ae3a2021d6fa78ca056cc1e3a', 'size': 39909, 'height': 256, 'width': 256}",,1777128177.3011143,16
0.001,32,0.7365191164943907,0.10990931661109682,2.616316767,0.10153580514895844,,0.8120869342927579,1777128427.8544512,17
,33,,,2.616316767,,"{'path': 'media/images/val/overlay_33_ab47b559e95ed2848e6f.png', 'sha256': 'ab47b559e95ed2848e6fc9e5175a8326984a6a53c527029dedc21e17c833e633', 'size': 40250, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png'}",,1777128428.901005,17
0.001,34,0.716068917264541,0.1188215995207429,2.616316767,0.09429256324997036,,0.7994723587676331,1777128680.5923753,18
,35,,,2.616316767,,"{'format': 'png', 'path': 'media/images/val/overlay_35_cc95ef261cb5e3a425bd.png', 'sha256': 'cc95ef261cb5e3a425bd20a01c6a1f6135b75c8bb9073cd517a540ff6e83dd54', 'size': 40330, 'height': 256, 'width': 256, '_type': 'image-file'}",,1777128681.0598962,18
0.001,36,0.7432053525138784,0.1042352006253269,2.616316767,0.08889904050762212,,0.8232897271712621,1777128932.257586,19
,37,,,2.616316767,,"{'sha256': '529ebc8cd6b1dda80864c53dccd0177ecb7140d6d42fdf72ff21d7e896523efe', 'size': 40302, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_37_529ebc8cd6b1dda80864.png'}",,1777128933.338141,19
0.001,38,0.7422156322885443,0.10383023763144458,2.616316767,0.0876912664493349,,0.8264117111210469,1777129185.1461973,20
